celln,criterion
1,1.458
2,1.458
3,1.458
4,1.458
5,1.68
6,1.841
7,1.961
8,2.05
9,2.12
10,2.173
11,2.22
12,2.246
13,2.274
14,2.31
15,2.326
16,2.339
17,2.352
18,2.365
19,2.378
20,2.391
21,2.395
22,2.399
23,2.402
24,2.406
25,2.41
26,2.414
27,2.418
28,2.422
29,2.426
30,2.4305
31,2.434
32,2.438
33,2.442
34,2.446
35,2.45
36,2.452
37,2.454
38,2.456
39,2.458
40,2.46
41,2.462
42,2.464
43,2.466
44,2.468
45,2.47
46,2.472
47,2.474
48,2.476
49,2.478
50,2.48
51,2.48
52,2.481
53,2.481
54,2.482
55,2.482
56,2.482
57,2.483
58,2.483
59,2.484
60,2.484
61,2.484
62,2.485
63,2.485
64,2.486
65,2.486
66,2.486
67,2.487
68,2.487
69,2.488
70,2.488
71,2.488
72,2.489
73,2.489
74,2.49
75,2.49
76,2.49
77,2.491
78,2.491
79,2.492
80,2.492
81,2.492
82,2.493
83,2.493
84,2.494
85,2.494
86,2.494
87,2.495
88,2.495
89,2.496
90,2.496
91,2.496
92,2.497
93,2.497
94,2.498
95,2.498
96,2.498
97,2.499
98,2.499
99,2.5
100,2.5
101,2.5
102,2.5
103,2.5
104,2.5
105,2.5
106,2.5
107,2.5
108,2.5
109,2.5
110,2.5
111,2.5
112,2.5
113,2.5
114,2.5
115,2.5
116,2.5
117,2.5
118,2.5
119,2.5
120,2.5
121,2.5
122,2.5
123,2.5
124,2.5
125,2.5
126,2.5
127,2.5
128,2.5
129,2.5
130,2.5
131,2.5
132,2.5
133,2.5
134,2.5
135,2.5
136,2.5
137,2.5
138,2.5
139,2.5
140,2.5
141,2.5
142,2.5
143,2.5
144,2.5
145,2.5
146,2.5
147,2.5
148,2.5
149,2.5
150,2.5
151,2.5
152,2.5
153,2.5
154,2.5
155,2.5
156,2.5
157,2.5
158,2.5
159,2.5
160,2.5
161,2.5
162,2.5
163,2.5
164,2.5
165,2.5
166,2.5
167,2.5
168,2.5
169,2.5
170,2.5
171,2.5
172,2.5
173,2.5
174,2.5
175,2.5
176,2.5
177,2.5
178,2.5
179,2.5
180,2.5
181,2.5
182,2.5
183,2.5
184,2.5
185,2.5
186,2.5
187,2.5
188,2.5
189,2.5
190,2.5
191,2.5
192,2.5
193,2.5
194,2.5
195,2.5
196,2.5
197,2.5
198,2.5
199,2.5
200,2.5
201,2.5
202,2.5
203,2.5
204,2.5
205,2.5
206,2.5
207,2.5
208,2.5
209,2.5
210,2.5
211,2.5
212,2.5
213,2.5
214,2.5
215,2.5
216,2.5
217,2.5
218,2.5
219,2.5
220,2.5
221,2.5
222,2.5
223,2.5
224,2.5
225,2.5
226,2.5
227,2.5
228,2.5
229,2.5
230,2.5
231,2.5
232,2.5
233,2.5
234,2.5
235,2.5
236,2.5
237,2.5
238,2.5
239,2.5
240,2.5
241,2.5
242,2.5
243,2.5
244,2.5
245,2.5
246,2.5
247,2.5
248,2.5
249,2.5
250,2.5
251,2.5
252,2.5
253,2.5
254,2.5
255,2.5
256,2.5
257,2.5
258,2.5
259,2.5
260,2.5
261,2.5
262,2.5
263,2.5
264,2.5
265,2.5
266,2.5
267,2.5
268,2.5
269,2.5
270,2.5
